window,spec,old_firm,cat,club_seasons,theta_mean,theta_sd,theta_p10,theta_p50,theta_p90,a_mean,a_sd,d_mean,d_sd
long,main σc=1.0 σs=0.20,excl,T2,178,1.2202300768772547,0.35271217176635994,0.7691588777419295,1.2418149519438801,1.6083957281617998,0.5308505578221981,0.185046811357079,-0.6893795190550571,0.20318455351541678
long,main σc=1.0 σs=0.20,excl,T3,179,0.676715076217889,0.3610142786329718,0.2640991151075927,0.6170206697514233,1.1728573658810353,0.30441107558237696,0.1837040096085561,-0.372304000635512,0.21892815386537853
long,main σc=1.0 σs=0.20,excl,T4,189,0.35871552928690636,0.2705477069156956,0.024519818033087348,0.3665816359589823,0.6786977321251083,0.1477326320792847,0.16321206197645108,-0.21098289720762164,0.1719034357782575
long,main σc=1.0 σs=0.20,excl,T5,415,-0.21815032817375465,0.6089788615602029,-1.0321683291957273,-0.18002700103098576,0.5732862389947629,-0.0935887135249794,0.32243478628954747,0.1245616146487753,0.3326920095530836
primary,independent σc=0.01 σs=1.0,excl,T1,50,0.9808192740085218,0.36675035956475344,0.49071984233920324,0.9523386774955305,1.3838725277428747,0.4228560566223765,0.23088453842089335,-0.5579632173861458,0.2072120397027942
primary,independent σc=0.01 σs=1.0,excl,T2,50,0.830727714872269,0.42187173032789316,0.33121107086233825,0.7467702686229347,1.4180720122547572,0.3517974161262053,0.22630132378706186,-0.47893029874606363,0.24163812572571436
primary,independent σc=0.01 σs=1.0,excl,T3,60,0.3634422458225013,0.5205374627052733,-0.20403705786924944,0.34515975451325065,1.1122430744635008,0.15390033991805604,0.2618931332557311,-0.20954190590444532,0.3256232820051247
primary,independent σc=0.01 σs=1.0,excl,T4,60,0.11761658746737345,0.3495996972077377,-0.35574803255920073,0.14021370158724455,0.5678625958490375,0.04122084720201655,0.23649484614297062,-0.07639574026535688,0.20259209499253483
primary,independent σc=0.01 σs=1.0,excl,T5,176,-0.09741042228741588,0.5374016955415283,-0.7103478501921063,-0.0983391380008464,0.6267304329856613,-0.022416665753291525,0.3776628447206567,0.07499375653412436,0.3713107745109543
primary,main σc=1.0 σs=0.20,excl,T1,50,1.8373262463785858,0.2690378332687036,1.498567588435048,1.8071146168375334,2.235116272762857,0.8060586350807601,0.17578732322109344,-1.0312676112978254,0.14438194868180654
primary,main σc=1.0 σs=0.20,excl,T2,50,1.3487641500860845,0.32590356958272865,0.9694477508527203,1.3506174379854183,1.784003068823929,0.5618182404057649,0.17385444623070417,-0.7869459096803202,0.18667776965911786
primary,main σc=1.0 σs=0.20,excl,T3,60,0.8070843391906416,0.41010513757845224,0.3477723206155093,0.7929549533090623,1.3405428511411206,0.3381798286723475,0.20302583549751482,-0.46890451051829385,0.24743760816158447
primary,main σc=1.0 σs=0.20,excl,T4,60,0.38475561771593764,0.23029693090361245,0.10858731731822599,0.38976522197513847,0.6696209691112467,0.1246443544537371,0.1705526149478598,-0.2601112632622006,0.13298927598358917
primary,main σc=1.0 σs=0.20,excl,T5,176,-0.15613310266116767,0.5430236589741468,-0.7907742016496602,-0.1481713274976907,0.5787821274299997,-0.08303890253427935,0.32155488526302733,0.07309420012688825,0.3149659596428737
primary,σc=1.0 σs=0.10,excl,T1,50,1.851855253808264,0.23895557608055754,1.6010202174938828,1.830927001036216,2.188830689629193,0.8130840372111393,0.15100827797241054,-1.0387712165971248,0.11746214965155176
primary,σc=1.0 σs=0.10,excl,T2,50,1.3217343085360955,0.26791376878610595,1.0084184131872411,1.2874987777668485,1.7391284736275647,0.5480594586074303,0.13800814667738678,-0.7736748499286651,0.15301663747933447
primary,σc=1.0 σs=0.10,excl,T3,60,0.808609868561701,0.3628020306715029,0.40876939984835065,0.8160445077534861,1.2402358764030896,0.34193576942492104,0.17195135402512035,-0.46667409913677993,0.2142515370719696
primary,σc=1.0 σs=0.10,excl,T4,60,0.37897018268206895,0.18385620082319884,0.1925109980710276,0.3523007113881321,0.5950046054410074,0.11628809683204011,0.14202651179948247,-0.2626820858500286,0.10661332409615111
primary,σc=1.0 σs=0.10,excl,T5,176,-0.15966828621282053,0.5468426122921624,-0.7776273746656279,-0.17979777687705947,0.5828950839355577,-0.08804122995879422,0.3174792251128376,0.07162705625402625,0.3171394482043631
primary,σc=1.0 σs=0.35,excl,T1,50,1.8434414103520231,0.3004074939318283,1.4770307036372856,1.8306296913290436,2.2885661385555705,0.8124315104686213,0.19900047071609597,-1.0310098998834014,0.16829523544319866
primary,σc=1.0 σs=0.35,excl,T2,50,1.399650591657589,0.3668506799725493,1.0005712463832157,1.3815819723317184,1.8575396581980468,0.5911852716130959,0.1992584617405134,-0.808465320044493,0.21092813307193217
primary,σc=1.0 σs=0.35,excl,T3,60,0.8143506118573886,0.4568855932455977,0.3246811073363585,0.7981957125412273,1.487046473643216,0.34134060351651335,0.2312575689524547,-0.47301000834087525,0.28058363181878476
primary,σc=1.0 σs=0.35,excl,T4,60,0.3995201254441605,0.28009522491571975,0.0359684994211072,0.3782223368523574,0.7698112560952639,0.1383160774238348,0.20083664168811352,-0.2612040480203259,0.16368471196505713
primary,σc=1.0 σs=0.35,excl,T5,176,-0.15420548725811278,0.5474427819739108,-0.8410829364746374,-0.14993800639567184,0.5942334483120169,-0.07851208811455662,0.3387931276216529,0.07569339914355612,0.323183478720378
