fit,family,term,coef,se_cluster2,se_match,se_model,z,p
long_oldfirm_split,poisson,g_T0,0.00571149775658562,0.032424918190082794,0.018749646400666453,0.01860386756997343,0.17614532512012596,0.8601797732767329
long_oldfirm_split,poisson,g_T2,0.02384232893960771,0.015087515882207823,0.0077530239380348455,0.007688812920233913,1.5802686887457815,0.11404534723316456
long_oldfirm_split,poisson,g_T3,0.07608126847142932,0.015509907409667486,0.007544459508246185,0.007641383379212242,4.905333504699524,9.326872734412469e-7
long_oldfirm_split,poisson,g_T4,0.0635622456354851,0.014416783055963063,0.007519941836935596,0.007579755909810905,4.408906299605758,1.038939602606465e-5
long_oldfirm_split,poisson,g_T5,0.18043055976434408,0.02005814055484994,0.015851538177431748,0.016023773862773993,8.995378174310233,2.354203097162317e-19
long_oldfirm_split,poisson,θ_T0,1.0883610180921934,0.055618925447070505,0.037302519325614424,0.0357897492929705,19.568177726265624,2.8882546912935104e-85
long_oldfirm_split,poisson,θ_T2,-0.2451573042237795,0.08205596867072121,0.0549052376088785,0.05108736745210803,-2.9876839941718374,0.00281100035824154
long_oldfirm_split,poisson,θ_T3,-0.8378255032421265,0.09807095823929025,0.061100282052521486,0.058095525504807365,-8.54305411391879,1.3072014705538573e-17
long_oldfirm_split,poisson,θ_T4,-1.1696988813701283,0.13205254649578696,0.06534500708411821,0.06111134751253921,-8.857829041619025,8.158770895501939e-19
long_oldfirm_split,poisson,θ_T5,-1.675217950353416,0.11659988878627858,0.07488313216789586,0.06877634375823871,-14.367234547058631,8.308310541890549e-47
long_oldfirm_split,negbin,(Intercept),0.1426539499149574,0.020002001287024417,0.012721260391134956,0.013181036366215051,7.131983838412161,9.893249353227438e-13
long_oldfirm_split,negbin,comp: Scottish Cup,-0.0016289956566678285,0.024395035712988188,0.024600880059911505,0.025561451558666216,-0.06677570288616273,0.9467602665137735
long_oldfirm_split,negbin,comp: League Cup,0.09680619606508246,0.029805990969048506,0.029827874484081716,0.030809527338907933,3.2478771185836135,0.0011626947220883788
long_oldfirm_split,negbin,comp: Challenge Cup,0.01918469798991433,0.030462717438845124,0.03012100531011927,0.030482243184730723,0.6297763168511878,0.5288409428111047
long_oldfirm_split,negbin,home,0.16860521284987803,0.01075928686635479,0.011340623508561314,0.01100652405910497,15.67066804186818,2.4004305591467117e-55
long_oldfirm_split,negbin,home×cup,0.004815692378978365,0.02560132349902693,0.027983215828047595,0.025570997324145868,0.1881032587694696,0.8507957065696171
long_oldfirm_split,negbin,g_T0,0.00857041983142905,0.032407218410275156,0.018727422293905272,0.019344914047830144,0.264460211392647,0.7914253203808124
long_oldfirm_split,negbin,g_T2,0.024321762459514003,0.015112177579109898,0.007757897037773543,0.008033158704420621,1.6094148134637356,0.10752566828729002
long_oldfirm_split,negbin,g_T3,0.07660222874113687,0.015528408559783206,0.007549787486081139,0.008000318946411154,4.933037950812799,8.096041700970757e-7
long_oldfirm_split,negbin,g_T4,0.06421615323867855,0.014398022621719088,0.007522501752220812,0.007931017684846607,4.460067533288213,8.193383113371456e-6
long_oldfirm_split,negbin,g_T5,0.18288029423132746,0.019934577260481597,0.015834335255644035,0.016921162754247116,9.174024201349393,4.556826981193244e-20
long_oldfirm_split,negbin,θ_T0,1.0896972306272188,0.05569372012492074,0.037247177529640796,0.03723920867520753,19.565890520206466,3.0208025274850466e-85
long_oldfirm_split,negbin,θ_T2,-0.26009942716981366,0.08177995573196875,0.05502213786871116,0.05425830152680578,-3.1804789430588762,0.0014703182435636235
long_oldfirm_split,negbin,θ_T3,-0.8627763635531107,0.09674394349057862,0.06133485190041531,0.06198747555019871,-8.918143425041713,4.741700782994096e-19
long_oldfirm_split,negbin,θ_T4,-1.1986897006963264,0.12683086194795362,0.06541167273169182,0.06539125276693449,-9.451088499171608,3.353252417313538e-21
long_oldfirm_split,negbin,θ_T5,-1.707950510708484,0.11412916343716059,0.07523415151026518,0.07367259323992816,-14.965066414850924,1.2419986295073401e-50
primary_oldfirm_split,poisson,(Intercept),0.1440791828162702,0.033374229466745155,0.02453811328469451,0.024925573012483642,4.317078929412707,1.581076331059653e-5
primary_oldfirm_split,poisson,comp: Scottish Cup,-0.06587538309240418,0.045020156957176004,0.04704833199448233,0.04827882520768917,-1.4632419685934468,0.1434011806289799
primary_oldfirm_split,poisson,comp: League Cup,0.08003324183709164,0.06248787097592015,0.06530550408130652,0.0678297247409964,1.2807804232589814,0.20027080213201326
primary_oldfirm_split,poisson,comp: Challenge Cup,0.07390756075050059,0.052609008745872154,0.05299399222379009,0.05056592046520635,1.404846099790838,0.1600670473477747
primary_oldfirm_split,poisson,home,0.18504659519179664,0.02192408244084289,0.021526830519713328,0.019731672930295804,8.44033476388818,3.1643008272736516e-17
primary_oldfirm_split,poisson,home×cup,-0.04382632771958164,0.04681736789291187,0.053046401609939904,0.044577901830190725,-0.936112594365155,0.34921521922107956
primary_oldfirm_split,poisson,g_T0,0.05211009789961213,0.04398232873456912,0.034183002210276626,0.035581091454247316,1.1847962442846907,0.23609801789843554
primary_oldfirm_split,poisson,g_T2,0.0002634567629191598,0.02635716347986699,0.014888311892732037,0.015002148271481046,0.009995641720718625,0.992024764600697
primary_oldfirm_split,poisson,g_T3,0.05665568341930746,0.028889070274341015,0.014122988108741416,0.014671812582049974,1.9611459587063442,0.049861998817175485
primary_oldfirm_split,poisson,g_T4,0.03229947509967157,0.022131560846274212,0.014345084645421804,0.014820950096557118,1.4594305084952515,0.1444466541126619
primary_oldfirm_split,poisson,g_T5,0.2150706068621919,0.032291050176077425,0.02726432070232725,0.02891345251573595,6.660378206637742,2.7312382239564504e-11
primary_oldfirm_split,poisson,θ_T0,1.1496089837307315,0.08452104031365187,0.06552329095529598,0.06662472138084284,13.601453312271243,3.9255464054457755e-42
primary_oldfirm_split,poisson,θ_T2,-0.506185317599288,0.12070515953761915,0.12538560338104096,0.12019169351190837,-4.193568191602692,2.746004771430487e-5
primary_oldfirm_split,poisson,θ_T3,-0.989919063749323,0.13550718342992507,0.14100519894392463,0.14075459706591117,-7.305288462889797,2.7667253418762306e-13
primary_oldfirm_split,poisson,θ_T4,-1.4292731913203054,0.12669609850627542,0.1324876157596416,0.14215044613353517,-11.281114479223776,1.6267193767501613e-29
primary_oldfirm_split,poisson,θ_T5,-1.8669437322485454,0.14080754663684608,0.14558501664171788,0.14435356997413032,-13.258832902355316,4.010892391159596e-40
primary_oldfirm_split,negbin,(Intercept),0.14318396808894396,0.033340349057210436,0.024550156355823395,0.026057463152810895,4.294615147647289,1.749966367263779e-5
primary_oldfirm_split,negbin,comp: Scottish Cup,-0.0687026088644919,0.04527351766441868,0.04720789893511266,0.050783035731333886,-1.5175010118218974,0.12914023822544893
primary_oldfirm_split,negbin,comp: League Cup,0.07793140640739599,0.06270744322775235,0.06561829101507702,0.07185950550362098,1.242777609738456,0.21394979549966636
primary_oldfirm_split,negbin,comp: Challenge Cup,0.0741966091353342,0.052852799527487636,0.05313071549171536,0.05326363656613815,1.4038349869574287,0.160367992890266
primary_oldfirm_split,negbin,home,0.18550932314074733,0.021978651500091474,0.02153691984799956,0.020678456981939795,8.440432441452346,3.16165751127332e-17
primary_oldfirm_split,negbin,home×cup,-0.04506680555665526,0.04695991063382959,0.053121963744912175,0.047179880860792237,-0.959686782797867,0.337212877306445
primary_oldfirm_split,negbin,g_T0,0.053488720907973374,0.04397227545863588,0.03416545745932501,0.03715565009662301,1.216419217565611,0.2238252669236922
primary_oldfirm_split,negbin,g_T2,0.00044616206537600577,0.02639111180312615,0.014898398406823716,0.015691051282626732,0.01690576996923471,0.9865117896559137
primary_oldfirm_split,negbin,g_T3,0.05708451575235504,0.028899379392389478,0.014133626114725826,0.015374546589710327,1.9752851774868214,0.04823579437761797
primary_oldfirm_split,negbin,g_T4,0.0326733937669305,0.022126528145180437,0.014357506966099644,0.015517829286353216,1.476661568979468,0.13976637873690148
primary_oldfirm_split,negbin,g_T5,0.21729748960037928,0.03231536573149205,0.02729643121634904,0.030482427984250313,6.724277589983083,1.7646573439602646e-11
primary_oldfirm_split,negbin,θ_T0,1.1516585034884703,0.08502480205269373,0.06554359226898726,0.069670268308893,13.544971298783327,8.48470566914191e-42
primary_oldfirm_split,negbin,θ_T2,-0.5245015919231999,0.12169564681259315,0.1259262229542885,0.12779373784878156,-4.3099453896729205,1.6329486573625652e-5
primary_oldfirm_split,negbin,θ_T3,-1.0248295046369411,0.13691571882595285,0.14209654061805374,0.15012461663605906,-7.485112107103666,7.14860889808123e-14
primary_oldfirm_split,negbin,θ_T4,-1.4662079522365525,0.12876704730289687,0.13364607212274157,0.1519514779359171,-11.386515284361632,4.8812285260596845e-30
primary_oldfirm_split,negbin,θ_T5,-1.9104147325441863,0.1425223606446743,0.1467777752378501,0.15510279006136796,-13.404315813341627,5.704693902871686e-41
long_t5split,poisson,(Intercept),0.1907287825254647,0.028240532454867916,0.011404597280386838,0.011139422688850495,6.753724733422586,1.4409702226849604e-11
long_t5split,poisson,comp: Scottish Cup,-0.011710356359371591,0.023650041796935695,0.024893717151390486,0.024480072772596524,-0.4951516136808218,0.6204931027993381
long_t5split,poisson,comp: League Cup,0.08801974598280932,0.03027386056867146,0.030112997077264416,0.029285150051854388,2.907450332710308,0.0036438820392176983
long_t5split,poisson,comp: Challenge Cup,0.025541764533373777,0.03057466804345401,0.030386454417907254,0.029168653888703787,0.8353897578568226,0.4034982946647378
long_t5split,poisson,home,0.1681262339609568,0.010729007644937867,0.011717786606157828,0.010509076993334624,15.670250178289479,2.416264343612312e-55
long_t5split,poisson,home×cup,0.0032619757473364933,0.025877171443083536,0.02839502345231803,0.024183159663142398,0.12605611685617038,0.8996875039745986
long_t5split,poisson,g_T2,0.002633742572271872,0.018176075344333784,0.007175064588739527,0.00704867649729716,0.14490160952666362,0.8847885556306508
long_t5split,poisson,g_T3,0.05410560034334482,0.01880181158899231,0.0069658683801569286,0.007012394675486614,2.8776801685972337,0.004006110733675278
long_t5split,poisson,g_T4,0.041880219586608494,0.017598387343147816,0.006935740610101447,0.006947368178639514,2.3797759857192347,0.01732316548944754
long_t5split,poisson,g_T5,0.15938785859172633,0.025845210726315425,0.019916221210437565,0.02005694772986844,6.167017180844211,6.959019902076964e-10
long_t5split,poisson,g_T6,0.15398712767390907,0.030955007200911974,0.0227981030769803,0.022553334450764396,4.97454665975243,6.540051060399667e-7
long_t5split,poisson,θ_T2,-0.6457629778208936,0.06416040585193764,0.060101572486872014,0.056343554930516015,-10.064820651401657,7.90312447792099e-24
long_t5split,poisson,θ_T3,-1.2717216621674936,0.07355752745010583,0.06698187460999376,0.06458807565998854,-17.288803828134437,5.7125403563223275e-67
long_t5split,poisson,θ_T4,-1.6543588731514334,0.07499571725843107,0.07109982069294199,0.06825597180691431,-22.059377970219348,7.764313959257254e-108
long_t5split,poisson,θ_T5,-1.9876958719286724,0.08306011079299987,0.08039162209959924,0.07525943161369422,-23.93081170915307,1.4639677799513534e-126
long_t5split,poisson,θ_T6,-2.4292873339326087,0.10047835466026962,0.09628599429182383,0.0834951893119913,-24.17722047844379,3.8635105053570765e-129
long_t5split,negbin,(Intercept),0.19099561720187444,0.028251877182214263,0.011402707814749221,0.011818861549287569,6.7604575784477134,1.3755660298837474e-11
long_t5split,negbin,comp: Scottish Cup,-0.013453744633180024,0.023649763777992817,0.024879171310320226,0.026195662668350668,-0.5688743769060115,0.5694413952185657
long_t5split,negbin,comp: League Cup,0.08364799542403341,0.030318091976383642,0.030163247218410745,0.03151986297967025,2.75901252259513,0.0057976313274485545
long_t5split,negbin,comp: Challenge Cup,0.026176417065468607,0.03063065753925492,0.03035797813116055,0.03131075619467513,0.8545822769857959,0.3927824425907793
long_t5split,negbin,home,0.16823468412000805,0.010728216677658301,0.011718749256372934,0.011190758150703696,15.681514381636207,2.0237121561339776e-55
long_t5split,negbin,home×cup,0.0034801346397706347,0.0258954726847233,0.028406486597267227,0.026113347303464148,0.13439162444112074,0.8930929042830716
long_t5split,negbin,g_T2,0.0023907308901193916,0.01819716598945284,0.007173780984077068,0.007496997147168706,0.1313792978261049,0.8954752646452323
long_t5split,negbin,g_T3,0.05393828020696076,0.018809597718751632,0.006964184520695486,0.0074822013580769335,2.8675935027142394,0.004136065679013447
long_t5split,negbin,g_T4,0.04165198493044385,0.017599258173970067,0.006934851365370828,0.0074068974714747125,2.3666898069629223,0.017947968492347133
long_t5split,negbin,g_T5,0.15928020143730476,0.025865129043373264,0.019854484111930814,0.021715103616001277,6.158105809957785,7.362016420417689e-10
long_t5split,negbin,g_T6,0.15626954541451155,0.030934176140560463,0.022757983601511586,0.024334014091902025,5.051679563226288,4.3794195996931955e-7
long_t5split,negbin,θ_T2,-0.6604588423288718,0.06461192488905333,0.06022089828261211,0.06105706014354266,-10.221934162508875,1.5815326693098748e-24
long_t5split,negbin,θ_T3,-1.2947403052458224,0.07380622499955132,0.06741123337621548,0.07023746550983684,-17.542426878677148,6.796201012411492e-69
long_t5split,negbin,θ_T4,-1.6778291929366291,0.0755266438766072,0.07156585791643726,0.07435824737997401,-22.215063543374285,2.456341203629047e-109
long_t5split,negbin,θ_T5,-2.019092142728478,0.08412348227074697,0.0812416438068659,0.08246139131505849,-24.001528327490497,2.680460212448192e-127
long_t5split,negbin,θ_T6,-2.4645643847440004,0.10077030982178382,0.09691784114421356,0.09138776821560027,-24.45724726958444,4.2138531398576376e-132
